Title,Episode 001,Director,IMdB Rating,Rating,Runtime,Release Date,Genre,Genre2,Genre3,Genre4,Genre5,Genre6,Actor,Actor7,Actor8,Actor9,Writer,Writer10,Writer11,Writer12,Writer13,Writer14,Writer15,Writer16,Writer17,,
Bordello of Blood,Episode 106,Gilbert Adler,5.3,R,87 min,16-Aug-96,Comedy, Fantasy, Horror,,,,John Kassir, Dennis Miller, Erika Eleniak, Angie Everhart,William M. Gaines (comic books &quot;Tales From the Crypt&quot;), Bob Gale (story), Robert Zemeckis (story), A L Katz (screenplay), Gilbert Adler (screenplay),,,,,,
Pray for Death,Episode 107,Gordon Hessler,5.8,R,92 min,1-Nov-85,Action, Crime, Drama,,,,Shô Kosugi, James Booth, Donna Kei Benz, Norman Burton,James Booth,,,,,, Rex Weiner (characters),,,,
Joysticks,Episode 108,Greydon Clark,4.2,R,88 min,4-Mar-83,Comedy,,,,,,Joe Don Baker, Leif Green, Jim Greenleaf, Scott McGinnis,Al Gomez, Mickey Epps, Curtis Burch,,,,,,,,
Addicted to Love,Episode 109,Griffin Dunne,6.1,R,100 min,23-May-97,Comedy, Romance,,,,,Meg Ryan, Matthew Broderick, Kelly Preston, Tchéky Karyo,Robert Gordon,,,,,,,,,,
Stroker Ace,Episode 110,Hal Needham,4.8,PG,96 min,1-Jul-83,Action, Comedy, Romance, Sport,,,Burt Reynolds, Ned Beatty, Jim Nabors, Parker Stevenson,William Neely (novel), Robert K. Ottum (novel), Hugh Wilson (screenplay), Hal Needham (screenplay), David E. Peckinpah,,,,,,
House Arrest,Episode 111,Harry Winer,5.8,PG,108 min,27-Nov-96,Comedy, Family,,,,,Kyle Howard, Herbert Russell, Jamie Lee Curtis, Kevin Pollak,Michael Hitchcock,,,,,, Chris Parker (screenplay),,,,
Off Beat,Episode 112,Hendrik Hölzemann,7.2,N/A,100 min,3-Feb-05,Drama, Romance,,,,,Matthias Schweighöfer, Jessica Schwarz, Jan-Gregor Kremp, Florian Lukas,Hendrik Hölzemann,,,,,,,,,,
Undercover Blues,Episode 113,Herbert Ross,6,PG-13,90 min,10-Sep-93,Comedy, Crime,,,,,Kathleen Turner, Dennis Quaid, Fiona Shaw, Stanley Tucci,Ian Abrams,,,,,,,,,,
Hackers,Episode 114,Iain Softley,6.2,PG-13,107 min,15-Sep-95,Comedy, Crime, Drama, Thriller,,,Jonny Lee Miller, Angelina Jolie, Jesse Bradford, Matthew Lillard,Rafael Moreu,,,,,,,,,,
Never Say Never Again,Episode 115,Irvin Kershner,6.2,PG,134 min,7-Oct-83,Action, Adventure, Thriller,,,,Sean Connery, Klaus Maria Brandauer, Max von Sydow, Barbara Carrera,Kevin McClory (based on an original story by), Jack Whittingham (based on an original story by), Ian Fleming (based on an original story by), Lorenzo Semple Jr. (screenplay),,,,,,,
The Net,Episode 116,Irwin Winkler,5.9,PG-13,114 min,28-Jul-95,Action, Crime, Drama, Mystery, Thriller,,Sandra Bullock, Jeremy Northam, Dennis Miller, Diane Baker,John Brancato, Michael Ferris,,,,,,,,,
Ghostbusters II,Episode 117,Ivan Reitman,6.5,PG,108 min,16-Jun-89,Action, Comedy, Fantasy, Sci-Fi,,,Bill Murray, Dan Aykroyd, Sigourney Weaver, Harold Ramis,Dan Aykroyd (characters), Harold Ramis (characters), Harold Ramis, Dan Aykroyd,,,,,,,
Child's Play 3,Episode 118,Jack Bender,5.1,R,90 min,30-Aug-91,Horror, Thriller,,,,,Justin Whalin, Perrey Reeves, Jeremy Sylvers, Travis Fine,Don Mancini (characters), Don Mancini,,,,,,,,,
Number One with a Bullet,Episode 119,Jack Smight,4.9,R,103 min,27-Feb-87,Action, Crime, Thriller,,,,Robert Carradine, Billy Dee Williams, Valerie Bertinelli, Peter Graves,Gail Morgan Hickman (story), Gail Morgan Hickman (screenplay), Andrew Kurtzman (screenplay), Rob Riley (screenplay), Jim Belushi (screenplay),,,,,,
Terminator 2: Judgment Day,Episode 120,James Cameron,8.5,R,137 min,3-Jul-91,Action, Sci-Fi,,,,,Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick,James Cameron, William Wisher,,,,,,,,,
Heart Condition,Episode 121,James D. Parriott,5.6,R,100 min,2-Feb-90,Comedy, Crime, Drama, Fantasy,,,Bob Hoskins, Denzel Washington, Chloe Webb, Roger E. Mosley,James D. Parriott,,,,,,,,,,
Every Which Way But Loose,Episode 122,James Fargo,6.3,PG,114 min,20-Dec-78,Action, Comedy,,,,,Clint Eastwood, Sondra Locke, Geoffrey Lewis, Beverly D'Angelo,Jeremy Joe Kronsberg,,,,,,,,,,
Perfect Stranger,Episode 123,James Foley,5.7,R,109 min,13-Apr-07,Crime, Drama, Horror, Mystery, Thriller,,Halle Berry, Bruce Willis, Giovanni Ribisi, Richard Portnow,Todd Komarnicki (screenplay), Jon Bokenkamp (story),,,,,,,,,
Jason X,Episode 124,James Isaac,4.4,R,91 min,26-Apr-02,Action, Horror, Sci-Fi, Thriller,,,Kane Hodder, Jeff Geddis, Lexa Doig, David Cronenberg,Victor Miller (characters), Todd Farmer,,,,,,,,,
Nightmare Beach,Episode 125,James Justice,5.4,R,90 min,1-Sep-89,Horror,,,,,,Nicolas De Toth, Sarah Buxton, Rawley Valverde, Lance LeGault,Umberto Lenzi (story), Vittorio Rambaldi (story), Umberto Lenzi (screenplay), James Justice (screenplay),,,,,,,
The Raven,Episode 126,James McTeigue,6.4,R,110 min,27-Apr-12,Crime, Mystery, Thriller,,,,John Cusack, Luke Evans, Alice Eve, Brendan Gleeson,Hannah Shakespeare, Ben Livingston,,,,,,,,,
The Jerky Boys,Episode 127,James Melkonian,4.6,R,82 min,3-Feb-95,Comedy, Crime,,,,,John G. Brennan, Kamal Ahmed, Alan Arkin, William Hickey,James Melkonian, Rich Wilkes, John G. Brennan, Kamal Ahmed,,,,,,,
Mr. Destiny,Episode 128,James Orr,6.4,PG-13,110 min,12-Oct-90,Comedy, Fantasy, Romance,,,,Jim Belushi, Linda Hamilton, Michael Caine, Jon Lovitz,James Orr, Jim Cruickshank,,,,,,,,,
Saw,Episode 129,James Wan,7.6,R,103 min,29-Oct-04,Horror, Mystery,,,,,Leigh Whannell, Cary Elwes, Danny Glover, Ken Leung,Leigh Whannell, James Wan (story), Leigh Whannell (story),,,,,,,,
The One,Episode 130,James Wong,5.9,PG-13,87 min,2-Nov-01,Action, Sci-Fi, Thriller,,,,Jet Li, Carla Gugino, Delroy Lindo, Jason Statham,Glen Morgan, James Wong,,,,,,,,,
Double Dragon,Episode 131,James Yukich,3.7,PG-13,96 min,4-Nov-94,Action, Adventure, Comedy, Sci-Fi,,,Robert Patrick, Mark Dacascos, Scott Wolf, Kristina Wagner,Paul Dini (story), Neal Shusterman (story), Michael Davis (screenplay), Peter Gould (screenplay),,,,,,,
Urban Legend,Episode 132,Jamie Blanks,5.5,R,99 min,25-Sep-98,Horror, Mystery,,,,,Jared Leto, Alicia Witt, Rebecca Gayheart, Michael Rosenbaum,Silvio Horta,,,,,, Kerry Ehrin (screenplay), Zak Penn (screenplay),,,
Speed 2: Cruise Control,Episode 133,Jan de Bont,3.8,PG-13,121 min,13-Jun-97,Action, Adventure, Crime, Romance, Thriller,,Sandra Bullock, Jason Patric, Willem Dafoe, Temuera Morrison,Graham Yost (characters), Jan de Bont (story), Randall McCormick (story), Randall McCormick (screenplay), Jeff Nathanson (screenplay),,,,,,
Twister,Episode 134,Jan de Bont,6.3,PG-13,113 min,10-May-96,Action, Adventure, Drama, Thriller,,,Helen Hunt, Bill Paxton, Cary Elwes, Jami Gertz,Michael Crichton, Anne-Marie Martin,,,,,,,,,
A Shock to the System,Episode 135,Jan Egleson,6.8,R,88 min,23-Mar-90,Comedy, Crime, Thriller,,,,Michael Caine, Elizabeth McGovern, Peter Riegert, Swoosie Kurtz,Simon Brett (novel), Andrew Klavan (screenplay),,,,,,,,,
Masterminds,Episode 136,Jared Hess,5.8,PG-13,95 min,30-Sep-16,Action, Comedy, Crime,,,,Zach Galifianakis, Kristen Wiig, Owen Wilson, Ross Kimball,Chris Bowman (screenplay), Hubbel Palmer (screenplay), Emily Spivey (screenplay), Emily Spivey (story), Chris Bowman (story),,,,,,
Visiting Hours,Episode 137,Jean-Claude Lord,5.6,R,103 min,28-May-82,Horror, Thriller,,,,,Michael Ironside, Lee Grant, Linda Purl, William Shatner,Brian Taggert (screenplay),,,,,,,,,,
Santa Claus: The Movie,Episode 138,Jeannot Szwarc,6.1,PG,107 min,27-Nov-85,Adventure, Family, Fantasy,,,,Dudley Moore, John Lithgow, David Huddleston, Burgess Meredith,David Newman (story), Leslie Newman (story), David Newman (screenplay),,,,,,,,
The Mating Habits of the Earthbound Human,Episode 139,Jeff Abugov,6.4,R,88 min,3-Sep-99,Comedy, Sci-Fi,,,,,David Hyde Pierce, Mackenzie Astin, Carmen Electra, Markus Redmond,Jeff Abugov,,,,,,,,,,
Chopping Mall,Episode 140,Jim Wynorski,5.6,R,77 min,21-Mar-86,Comedy, Horror, Sci-Fi,,,,Kelli Maroney, Tony O'Dell, Russell Todd, Karrie Emerson,Jim Wynorski, Steve Mitchell,,,,,,,,,
Loverboy,Episode 141,Joan Micklin Silver,6,PG-13,98 min,28-Apr-89,Comedy,,,,,,Patrick Dempsey, Kate Jackson, Robert Ginty, Nancy Valen,Robin Schiff (story), Robin Schiff (screenplay), Tom Ropelewski (screenplay), Leslie Dixon (screenplay),,,,,,,
Invisible Child,Episode 142,Joan Micklin Silver,5,NOT RATED,120 min,8-Mar-99,Drama,,,,,,Rita Wilson, Victor Garber, Tushka Bergen, Mae Whitman,Ronald Bass (story), David Field (story), David Field (teleplay),,,,,,,,
Halloween: The Curse of Michael Myers,Episode 143,Joe Chappelle,4.9,R,87 min,29-Sep-95,Horror, Thriller,,,,,Donald Pleasence, Paul Rudd, Marianne Hagan, Mitchell Ryan,Debra Hill (characters), John Carpenter (characters), Daniel Farrands,,,,,,,,
The Watcher,Episode 144,Joe Charbanic,5.3,R,97 min,8-Sep-00,Crime, Horror, Mystery,,,,James Spader, Marisa Tomei, Keanu Reeves, Ernie Hudson,Darcy Meyers (story), David Elliot (story), David Elliot (screenplay), Clay Ayers (screenplay),,,,,,,
Jurassic Park III,Episode 145,Joe Johnston,5.9,PG-13,92 min,18-Jul-01,Action, Adventure, Sci-Fi, Thriller,,,Sam Neill, William H. Macy, Téa Leoni, Alessandro Nivola,Michael Crichton (characters), Peter Buchman, Alexander Payne, Jim Taylor,,,,,,,
Space Jam,Episode 146,Joe Pytka,6.4,PG,88 min,15-Nov-96,Animation, Adventure, Comedy, Family, Fantasy, Sci-Fi, Sport,Michael Jordan, Wayne Knight, Theresa Randle, Manner Washington,Leo Benvenuti, Steve Rudnick, Timothy Harris, Herschel Weingrod,,,,,,
Batman Forever,Episode 147,Joel Schumacher,5.4,PG-13,121 min,16-Jun-95,Action, Adventure, Fantasy,,,,Val Kilmer, Tommy Lee Jones, Jim Carrey, Nicole Kidman,Bob Kane (characters), Lee Batchler (story), Janet Scott Batchler (story), Lee Batchler (screenplay), Janet Scott Batchler (screenplay),,,,,,
Drop Zone,Episode 148,John Badham,5.6,R,101 min,9-Dec-94,Action, Adventure, Thriller,,,,Wesley Snipes, Gary Busey, Yancy Butler, Michael Jeter,Tony Griffin (story), Guy Manos (story), Peter Barsocchini (story), Peter Barsocchini (screenplay), John Bishop (screenplay),,,,,,
Ghosts Can't Do It,Episode 149,John Derek,2.3,R,90 min,1-Jun-90,Comedy, Crime, Fantasy, Romance,,,Bo Derek, Anthony Quinn, Don Murray, Julie Newmar,John Derek (by),,,,,,,,,,
Brainscan,Episode 150,John Flynn,6.1,R,96 min,22-Apr-94,Comedy, Horror, Sci-Fi, Thriller,,,Edward Furlong, Frank Langella, T. Ryder Smith, Amy Hargreaves,Brian Owens (story), Andrew Kevin Walker (screenplay),,,,,,,,,
The Karate Kid Part III,Episode 151,John G. Avildsen,5.1,PG,112 min,30-Jun-89,Action, Drama, Family, Sport,,,Ralph Macchio, Pat Morita, Robyn Lively, Thomas Ian Griffith,Robert Mark Kamen (characters), Robert Mark Kamen,,,,,,,,,
Next of Kin,Episode 152,John Irvin,5.8,R,108 min,20-Oct-89,Action, Crime, Thriller,,,,Patrick Swayze, Liam Neeson, Adam Baldwin, Helen Hunt,Michael Jenning,,,,,,,,,,
The Ewok Adventure,Episode 153,John Korty,5.5,N/A,96 min,25-Nov-84,Adventure, Family, Fantasy, Sci-Fi,,,Eric Walker, Warwick Davis, Fionnula Flanagan, Guy Boyd,George Lucas (story), Bob Carrau (teleplay),,,,,,,,,
Man's Best Friend,Episode 154,John Lafia,5.1,R,87 min,19-Nov-93,Comedy, Horror, Sci-Fi, Thriller,,,Ally Sheedy, Lance Henriksen, Robert Costanzo, Fredric Lehne,John Lafia,,,,,,,,,,
A Good Day to Die Hard,Episode 155,John Moore,5.3,R,98 min,14-Feb-13,Action, Thriller,,,,,Bruce Willis, Jai Courtney, Sebastian Koch, Mary Elizabeth Winstead,Skip Woods, Roderick Thorp (certain original characters by),,,,,,,,,
Jungle 2 Jungle,Episode 156,John Pasquin,5.1,PG,105 min,7-Mar-97,Comedy, Family,,,,,Tim Allen, Martin Short, JoBeth Williams, Lolita Davidovich,Hervé Palud (earlier screenplay Un indien dans la ville), Thierry Lhermitte (earlier screenplay Un indien dans la ville), Jean-Marie Pallardy (earlier screenplay Un indien dans la ville), Philippe Bruneau (earlier screenplay Un indien dans la ville), Bruce A. Evans (screenplay),,,,,,
Ernest Scared Stupid,Episode 157,John R. Cherry III,5.8,PG,91 min,11-Oct-91,Comedy, Family, Fantasy,,,,Jim Varney, Eartha Kitt, Austin Nagler, Shay Astar,John R. Cherry III (story), Coke Sams (story), Charles Gale (screenplay), Coke Sams (screenplay),,,,,,,
Mortal Kombat: Annihilation,Episode 158,John R. Leonetti,3.7,PG-13,95 min,21-Nov-97,Action, Adventure, Fantasy, Sci-Fi, Thriller,,Robin Shou, Talisa Soto, James Remar, Sandra Hess,Ed Boon (video games), Lawrence Kasanoff (story), Joshua Wexler (story), John Tobias (story), Brent V. Friedman (screenplay),,,,,,
Hard Target,Episode 159,John Woo,6.1,R,97 min,20-Aug-93,Action, Thriller,,,,,Chuck Pfarrer, Robert Apisa, Arnold Vosloo, Lance Henriksen,Chuck Pfarrer,,,,,,,,,,
The Core,Episode 160,Jon Amiel,5.5,PG-13,135 min,28-Mar-03,Action, Adventure, Sci-Fi, Thriller,,,Christopher Shyer, Ray Galletti, Eileen Pedde, Rekha Sharma,Cooper Layne, John Rogers,,,,,,,,,
Copycat,Episode 161,Jon Amiel,6.6,R,123 min,27-Oct-95,Drama, Mystery, Thriller,,,,Sigourney Weaver, Holly Hunter, Dermot Mulroney, William McNamara,Ann Biderman, David Madsen,,,,,,,,,
Cop and a Half: New Recruit,Episode 162,Jonathan A. Rosenbaum,5.6,PG,97 min,10-Aug-17,Action, Adventure, Comedy, Crime, Family, Mystery,Lou Diamond Phillips, Lulu Wilson, Janet Kidder, Michael Coleman,Scott Bindley, Arne Olsen (based on stories and characters by), Arne Olsen (story by), Adrian Vina,,,,,,,
Star Trek: Insurrection,Episode 163,Jonathan Frakes,6.4,PG,103 min,11-Dec-98,Action, Adventure, Sci-Fi, Thriller,,,Patrick Stewart, Jonathan Frakes, Brent Spiner, LeVar Burton,Gene Roddenberry (creator: &quot;Star Trek&quot;), Rick Berman (story), Michael Piller (story), Michael Piller (screenplay),,, Dan Gilroy (screenplay),,,,
The Punisher,Episode 164,Jonathan Hensleigh,6.5,R,124 min,16-Apr-04,Action, Adventure, Crime, Drama, Thriller,,A. Russell Andrews, Omar Avila, James Carpinello, Mark Collie,Jonathan Hensleigh, Michael France,,,,,,,,,
Terminator 3: Rise of the Machines,Episode 165,Jonathan Mostow,6.3,R,109 min,2-Jul-03,Action, Sci-Fi,,,,,Arnold Schwarzenegger, Nick Stahl, Claire Danes, Kristanna Loken,James Cameron (characters), Gale Anne Hurd (characters), John Brancato (story), Michael Ferris (story), Tedi Sarafian (story),,,,,,
Camp Nowhere,Episode 166,Jonathan Prince,6,PG,96 min,26-Aug-94,Adventure, Comedy, Family,,,,John Putch, Peter Scolari, Romy Windsor, Jonathan Jackson,Andrew Kurtzman, Eliot Wald,,,,, Akiva Goldsman (screenplay),,,,
My Science Project,Episode 167,Jonathan R. Betuel,6,PG,94 min,9-Aug-85,Action, Adventure, Comedy, Sci-Fi,,,John Stockwell, Danielle von Zerneck, Fisher Stevens, Raphael Sbarge,Jonathan R. Betuel,,,,,,,,,,
Canvas,Episode 168,Joseph Greco,6.7,PG-13,101 min,12-Dec-08,Drama,,,,,,Griffin Miner, Marcia Gay Harden, Devon Gearhart, Julie Upton,Joseph Greco,,,,,,,,,,
Money Train,Episode 169,Joseph Ruben,5.6,R,110 min,22-Nov-95,Action, Comedy, Crime, Drama, Thriller,,Wesley Snipes, Woody Harrelson, Jennifer Lopez, Robert Blake,Doug Richardson (story), Doug Richardson (screenplay), David Loughery (screenplay),,,,,,,,
The Good Son,Episode 170,Joseph Ruben,6.4,R,87 min,24-Sep-93,Drama, Horror, Thriller,,,,Macaulay Culkin, Elijah Wood, Wendy Crewson, David Morse,Ian McEwan,,,,,,,,,,
Jaws: The Revenge,Episode 171,Joseph Sargent,2.9,PG-13,89 min,17-Jul-87,Adventure, Horror, Thriller,,,,Lorraine Gary, Lance Guest, Mario Van Peebles, Karen Young,Peter Benchley (characters), Michael De Guzman,,,,,,,,,
Poison Ivy,Episode 172,Katt Shea,5.4,R,90 min,8-May-92,Drama, Thriller,,,,,Sara Gilbert, Drew Barrymore, Tom Skerritt, Cheryl Ladd,Melissa Goddard (story), Andy Ruben (screenplay), Katt Shea (screenplay),,,,,,,,
The New Adventures of Pippi Longstocking,Episode 173,Ken Annakin,5.9,G,100 min,29-Jul-88,Adventure, Family, Fantasy, Musical,,,Tami Erin, David Seaman, Cory Crow, Eileen Brennan,Astrid Lindgren (books), Ken Annakin,,,,, Sean Catherine Derek (screenplay), Lawrence Kasanoff (screenplay),,,
Steel,Episode 174,Kenneth Johnson,2.8,PG-13,97 min,15-Aug-97,Action, Crime, Sci-Fi,,,,Shaquille O'Neal, Annabeth Gish, Judd Nelson, Richard Roundtree,Louise Simonson (comic book series), Jon Bogdanove (comic book series), Kenneth Johnson,,,,,,,,
Robin Hood: Prince of Thieves,Episode 175,Kevin Reynolds,6.9,PG-13,143 min,14-Jun-91,Action, Adventure, Drama, Romance,,,Kevin Costner, Morgan Freeman, Mary Elizabeth Mastrantonio, Christian Slater,Pen Densham (story), Pen Densham (screenplay), John Watson (screenplay),,,,,,,,
Waterworld,Episode 176,Kevin Reynolds,6.2,PG-13,135 min,28-Jul-95,Action, Adventure, Sci-Fi, Thriller,,,Kevin Costner, Chaim Jeraffi, Rick Aviles, R.D. Call,Peter Rader, David Twohy,,,,,,,,,
Texas Chainsaw Massacre: The Next Generation,Episode 177,Kim Henkel,3.2,R,95 min,21-Oct-95,Comedy, Horror, Thriller,,,,Renée Zellweger, Matthew McConaughey, Robert Jacks, Tonie Perensky,Kim Henkel (characters), Tobe Hooper (characters), Kim Henkel,,,,,,,,
Mystery Men,Episode 178,Kinka Usher,6.1,PG-13,121 min,6-Aug-99,Action, Comedy, Fantasy, Sci-Fi,,,Hank Azaria, Janeane Garofalo, William H. Macy, Kel Mitchell,Neil Cuthbert, Bob Burden (comic book series),,,,, Jerry Stahl (screenplay),,,,
Ultraviolet,Episode 179,Kurt Wimmer,4.4,PG-13,88 min,3-Mar-06,Action, Sci-Fi, Thriller,,,,Milla Jovovich, Cameron Bright, Nick Chinlund, Sebastien Andrieu,Kurt Wimmer,,,,,,,,,,
Jupiter Ascending,Episode 180,Lana Wachowski,5.3,PG-13,127 min,6-Feb-15,Action, Adventure, Sci-Fi,,,,Mila Kunis, Channing Tatum, Sean Bean, Eddie Redmayne,Lilly Wachowski, Lana Wachowski,,,,,,,,,
The Matrix Revolutions,Episode 181,Lana Wachowski,6.7,R,129 min,5-Nov-03,Action, Sci-Fi,,,,,Mary Alice, Tanveer K. Atwal, Helmut Bakaitis, Kate Beahan,Lilly Wachowski, Lana Wachowski, Lilly Wachowski (characters), Lana Wachowski (characters),,,,,,,
Son of the Mask,Episode 182,Lawrence Guterman,2.2,PG,94 min,18-Feb-05,Comedy, Family, Fantasy,,,,Jamie Kennedy, Alan Cumming, Liam Falconer, Ryan Falconer,Lance Khazei,,,,,,,,,,
Foodfight!,Episode 183,Lawrence Kasanoff,1.8,PG,91 min,12-Feb-13,Animation, Action, Comedy, Family, Fantasy, Mystery, Sci-Fi,Charlie Sheen, Hilary Duff, Eva Longoria, Wayne Brady,Lawrence Kasanoff (story), Joshua Wexler (story), Brent V. Friedman (screenplay), Rebecca Swanson (screenplay),,,,,,
Dreamcatcher,Episode 184,Lawrence Kasdan,5.5,R,134 min,21-Mar-03,Drama, Horror, Sci-Fi, Thriller,,,Morgan Freeman, Thomas Jane, Jason Lee, Damian Lewis,Stephen King (novel), William Goldman (screenplay), Lawrence Kasdan (screenplay),,,,,,,,
Die Another Day,Episode 185,Lee Tamahori,6.1,PG-13,133 min,22-Nov-02,Action, Adventure, Thriller,,,,Pierce Brosnan, Halle Berry, Toby Stephens, Rosamund Pike,Ian Fleming (characters), Neal Purvis, Robert Wade,,,,,,,,
Encino Man,Episode 186,Les Mayfield,5.7,PG,88 min,22-May-92,Comedy,,,,,,Sean Astin, Brendan Fraser, Pauly Shore, Megan Ward,George Zaloom (story), Shawn Schepps (story), Shawn Schepps (screenplay),,,,,,,,
Cat's Eye,Episode 187,Lewis Teague,6.3,PG-13,94 min,12-Apr-85,Comedy, Horror, Thriller,,,,Drew Barrymore, James Woods, Alan King, Kenneth McMillan,Stephen King (screenplay),,,,,, Norman Snider (screenplay),,,,
Retroactive,Episode 188,Louis Morneau,6.3,R,91 min,1-Jan-97,Action, Crime, Drama, Sci-Fi, Thriller,,Jim Belushi, Kylie Travis, Shannon Whirry, Frank Whaley,Michael Hamilton-Wright, Robert Strauss, Phillip Badger,,,,,,,,
American Shaolin,Episode 189,Lucas Lowe,5.9,PG-13,106 min,23-Jul-92,Action,,,,,,Reese Madigan, Trent Bushey, Daniel Dae Kim, Billy Chang,Keith W. Strandberg,,,,,,,,,,
Anaconda,Episode 190,Luis Llosa,4.7,PG-13,89 min,11-Apr-97,Action, Adventure, Horror, Thriller,,,Jennifer Lopez, Ice Cube, Jon Voight, Eric Stoltz,Hans Bauer, Jim Cash, Jack Epps Jr.,,,,,,,,
After Earth,Episode 191,M. Night Shyamalan,4.8,PG-13,100 min,31-May-13,Action, Adventure, Sci-Fi,,,,Jaden Smith, Will Smith, Sophie Okonedo, Zoë Kravitz,Gary Whitta (screenplay), M. Night Shyamalan (screenplay), Will Smith (story),,,,,,,,
Lady in the Water,Episode 192,M. Night Shyamalan,5.6,PG-13,110 min,21-Jul-06,Drama, Fantasy, Mystery, Thriller,,,Paul Giamatti, Bryce Dallas Howard, Jeffrey Wright, Bob Balaban,M. Night Shyamalan,,,,,,,,,,
The Happening,Episode 193,M. Night Shyamalan,5,R,91 min,13-Jun-08,Mystery, Sci-Fi, Thriller,,,,Mark Wahlberg, Zooey Deschanel, John Leguizamo, Ashlyn Sanchez,M. Night Shyamalan,,,,,,,,,,
Dr. Giggles,Episode 194,Manny Coto,5.1,R,95 min,23-Oct-92,Comedy, Drama, Horror, Mystery, Thriller,,Larry Drake, Holly Marie Combs, Cliff De Young, Glenn Quinn,Manny Coto, Graeme Whifler,,,,,,,,,
The Amazing Spider-Man 2,Episode 195,Marc Webb,6.6,PG-13,142 min,2-May-14,Action, Adventure, Sci-Fi,,,,Andrew Garfield, Emma Stone, Jamie Foxx, Dane DeHaan,Alex Kurtzman (screenplay), Roberto Orci (screenplay), Jeff Pinkner (screenplay), Alex Kurtzman (screen story), Roberto Orci (screen story),,,,,,
Demolition Man,Episode 196,Marco Brambilla,6.6,R,115 min,8-Oct-93,Action, Crime, Sci-Fi, Thriller,,,Sylvester Stallone, Wesley Snipes, Sandra Bullock, Nigel Hawthorne,Peter M. Lenkov (story), Robert Reneau (story), Daniel Waters (screenplay), Robert Reneau (screenplay), Peter M. Lenkov (screenplay),,,,,,
Spawn,Episode 197,Mark A.Z. Dippé,5.2,R,96 min,1-Aug-97,Action, Horror,,,,,Michael Jai White, John Leguizamo, Martin Sheen, Theresa Randle,Todd McFarlane (comic book), Alan B. McElroy (screen story), Mark A.Z. Dippé (screen story), Alan B. McElroy (screenplay),,,,,,,
Dead Heat,Episode 198,Mark Goldblatt,6,R,86 min,6-May-88,Action, Comedy, Horror, Sci-Fi, Thriller,,Treat Williams, Joe Piscopo, Lindsay Frost, Darren McGavin,Terry Black,,,,,,,,,,
Ghost Rider: Spirit of Vengeance,Episode 199,Mark Neveldine,4.3,PG-13,96 min,17-Feb-12,Action, Fantasy, Thriller,,,,Nicolas Cage, Violante Placido, Ciarán Hinds, Idris Elba,Scott M. Gimple (screenplay), Seth Hoffman (screenplay), David S. Goyer (screenplay), David S. Goyer (story),,,,,,,
Green Lantern,Episode 200,Martin Campbell,5.5,PG-13,114 min,17-Jun-11,Action, Adventure, Sci-Fi,,,,Ryan Reynolds, Blake Lively, Peter Sarsgaard, Mark Strong,Greg Berlanti (screenplay), Michael Green (screenplay), Marc Guggenheim (screenplay), Michael Goldenberg (screenplay), Greg Berlanti (screen story),,,,,,
A Letter from Death Row,Episode 201,Marvin Baker,4.1,R,89 min,17-Nov-98,Crime, Drama, Mystery,,,,Bret Michaels, Martin Sheen, Kristi Gibson, Simon Elsworth,Bret Michaels,,,,,,,,,,
Pet Sematary II,Episode 202,Mary Lambert,4.8,R,100 min,28-Aug-92,Fantasy, Horror,,,,,Edward Furlong, Anthony Edwards, Clancy Brown, Jared Rushton,Richard Outten,,,,,,,,,,
The Pallbearer,Episode 203,Matt Reeves,4.9,PG-13,98 min,3-May-96,Comedy, Romance,,,,,David Schwimmer, Gwyneth Paltrow, Michael Rapaport, Toni Collette,Jason Katims, Matt Reeves,,,,,,,,,
Hider in the House,Episode 204,Matthew Patrick,5.9,R,104 min,29-Aug-91,Thriller,,,,,,Gary Busey, Mimi Rogers, Michael McKean, Kurt Christopher Kinder,Lem Dobbs,,,,,,,,,,
Maz Jobrani: I Come in Peace,Episode 205,Maz Jobrani,7.4,TV-14,72 min,26-Jan-13,Documentary, Comedy,,,,,Maz Jobrani,Maz Jobrani,,,,,,,,,,,,,
This Means War,Episode 206,McG,6.3,PG-13,103 min,17-Feb-12,Action, Comedy, Romance,,,,Reese Witherspoon, Chris Pine, Tom Hardy, Til Schweiger,Timothy Dowling (screenplay), Simon Kinberg (screenplay), Timothy Dowling (story), Marcus Gautesen (story),,,,,,,
Over the Top,Episode 207,Menahem Golan,5.7,PG,93 min,13-Feb-87,Action, Drama, Sport,,,,Sylvester Stallone, Robert Loggia, Susan Blakely, Rick Zumwalt,Gary Conway (story), David Engelbach (story), Stirling Silliphant (screenplay), Sylvester Stallone (screenplay),,,,,,,
Transformers: The Last Knight,Episode 208,Michael Bay,5.2,PG-13,154 min,21-Jun-17,Action, Adventure, Sci-Fi,,,,Mark Wahlberg, Anthony Hopkins, Josh Duhamel, Laura Haddock,Art Marcum (screenplay by), Matt Holloway (screenplay by), Ken Nolan (screenplay by), Akiva Goldsman (story by), Art Marcum (story by),,,,,,
Transformers: Revenge of the Fallen,Episode 209,Michael Bay,6,PG-13,150 min,24-Jun-09,Action, Adventure, Sci-Fi,,,,Shia LaBeouf, Megan Fox, Josh Duhamel, Tyrese Gibson,Ehren Kruger, Roberto Orci, Alex Kurtzman,,,,,,,,
