286,Independence Day: Resurgence,Roland Emmerich,
287,Bee Movie,Simon J. Smith, Steve Hickner
288,My Father the Hero,Steve Miner,
289,Retroactive,Louis Morneau,
290,Tango & Cash,Andrey Konchalovskiy, Albert Magnoli
291,Avatar: The Last Airbender,N/A,
293,Ultraviolet,Kurt Wimmer,
294,Power Rangers Ninja Steel,N/A,
295,Overboard,Garry Marshall,
296,Sidekicks,Aaron Norris,
297,Howard the Duck,Willard Huyck,
298,Hot to Trot,Michael Dinner,
299,Death Wish 3,Michael Winner,
300,300,Zack Snyder,
301,AVP: Alien vs. Predator,Paul W.S. Anderson,
302,Ninja III: The Domination,Sam Firstenberg,
303,Disclosure,Barry Levinson,
304,Transformers,Michael Bay,
305,Transformers: Revenge of the Fallen,Michael Bay,
306,Transformers: Dark of the Moon,Michael Bay,
308,Transformers: Age of Extinction,Michael Bay,
309,Encino Man,Les Mayfield,
310,Transformers: The Last Knight,Michael Bay,
311,Air Force One,Wolfgang Petersen,
312,Spider-Man 3,Sam Raimi,
314,Over the Top,Menahem Golan,
315,Mac and Me,Stewart Raffill,
316,It,N/A,
317,If Looks Could Kill,William Dear,
318,Samurai Cop,Amir Shervan,
319,Freddy's Dead: The Final Nightmare,Rachel Talalay,
320,Dr. Giggles,Manny Coto,
321,Scream 2,Wes Craven,
322,Saw,James Wan,
323,Trick or Treat,Charles Martin Smith,
324,Rising Sun,Philip Kaufman,
325,The Fan,Tony Scott,
326,Murder at 1600,Dwight H. Little,
327,Drop Zone,John Badham,
328,The Punisher,Jonathan Hensleigh,
329,Hard to Kill,Bruce Malmuth,
330,Pottersville,Seth Henrikson,
331,Constantine,Francis Lawrence,
332,The Boss Baby,Tom McGrath,
333,Bright,David Ayer,
334,The Fate of the Furious,F. Gary Gray,
335,The Bye Bye Man,Stacy Title,
336,Geostorm,Dean Devlin,
337,Going in Style,Zach Braff,
338,Blade: Trinity,David S. Goyer,
339,Man of Steel,Zack Snyder,
340,You've Got Mail,Nora Ephron,
341,Traces of Red,Andy Wolk,
342,Death Wish V: The Face of Death,Allan A. Goldstein,
343,The Jerky Boys,James Melkonian,
344,Ghost Rider: Spirit of Vengeance,Mark Neveldine, Brian Taylor
345,Maximum Overdrive,Stephen King,
346,I'll Always Know What You Did Last Summer,Sylvain White,
347,Tarzan the Ape Man,W.S. Van Dyke,
348,I Know Who Killed Me,Chris Sivertson,
349,Shrek,Andrew Adamson, Vicky Jenson
350,Wild Hogs,Walt Becker,
351,Jungle 2 Jungle,John Pasquin,
352,Lost in Space,Stephen Hopkins,
353,Airborne,Rob Bowman,
354,The Bucket List,Rob Reiner,
355,Dollman,Albert Pyun,
356,Transcendence,Wally Pfister,
357,The X Files: I Want to Believe,Chris Carter,
358,Witless Protection,Charles Robert Carner,
359,X-Men Origins: Wolverine,Gavin Hood,
360,Ocean's Twelve,Steven Soderbergh,
361,xXx,Rob Cohen,
362,Jurassic World,Colin Trevorrow,
363,Jurassic Park III,Joe Johnston,
364,Lethal Weapon 4,Richard Donner,
365,Rambo III,Peter MacDonald,
366,Runaway Bride,Garry Marshall,
367,America's Sweethearts,Joe Roth,
368,Eraser,Chuck Russell,
369,Rookie of the Year,Daniel Stern,
370,Armageddon,Michael Bay,
371,The Emoji Movie,Tony Leondis,
372,Jason X,James Isaac,
373,Friday the 13th Part VIII: Jason Takes Manhattan,Rob Hedden,
374,Tank Girl,Rachel Talalay,
375,Cobra,George P. Cosmatos,
376,The Flintstones,Brian Levant,
377,Ready Player One,Steven Spielberg,
378,Masterminds,Jared Hess,
379,Aliens vs. Predator: Requiem,Colin Strause, Greg Strause
380,The Stepford Wives,Frank Oz,
381,Hellraiser III: Hell on Earth,Anthony Hickox,
382,Man's Best Friend,John Lafia,
383,Halloween: Resurrection,Rick Rosenthal,
384,Van Helsing,Stephen Sommers,
385,Urban Legend,Jamie Blanks,
386,Wishmaster,Robert Kurtzman,
387,The Cat in the Hat,Bo Welch,
388,How the Grinch Stole Christmas,Ron Howard,
389,The One,James Wong,
390,Robin Hood: Prince of Thieves,Kevin Reynolds,
391,Richie Rich,N/A,
392,Terminator 2: Judgment Day,James Cameron,
393,Star Wars: Episode IV - A New Hope,George Lucas,
394,Back to the Future,Robert Zemeckis,
395,It's a Wonderful Life,Frank Capra,
