145,Chuck Pfarrer, Robert Apisa, Arnold Vosloo, Lance Henriksen
146,Robin Williams, Sally Field, Pierce Brosnan, Harvey Fierstein
147,Michael Caine, Joseph Bologna, Valerie Harper, Michelle Johnson
148,Griffin Miner, Marcia Gay Harden, Devon Gearhart, Julie Upton
149,Morgan Freeman, Thomas Jane, Jason Lee, Damian Lewis
150,John Stockwell, Danielle von Zerneck, Fisher Stevens, Raphael Sbarge
151,Elijah Wood, Jason Alexander, Julia Louis-Dreyfus, Marc Shaiman
152,Joe Don Baker, Leif Green, Jim Greenleaf, Scott McGinnis
153,Ralph Macchio, Pat Morita, Robyn Lively, Thomas Ian Griffith
154,Josh Brolin, George Clooney, Alden Ehrenreich, Ralph Fiennes
155,Clint Eastwood, Sondra Locke, Geoffrey Lewis, Beverly D'Angelo
156,Ashton Kutcher, Melora Walters, Amy Smart, Elden Henson
157,Jesse Ventura, Sven-Ole Thorsen, Damian Lee, Jerry Levitan
158,David Naughton, Patrick Houser, Tracy Smith, John Patrick Reger
159,Leigh McCloskey, Dick Butkus, Randi Brooks, Chuck McCann
160,Hank Azaria, Janeane Garofalo, William H. Macy, Kel Mitchell
161,Christopher Lambert, Robin Shou, Linden Ashby, Cary-Hiroyuki Tagawa
162,John Travolta, Hugh Jackman, Halle Berry, Don Cheadle
163,Halle Berry, Benjamin Bratt, Sharon Stone, Lambert Wilson
164,Burt Reynolds, Ned Beatty, Jim Nabors, Parker Stevenson
165,Andy Serkis, Karin Konoval, Terry Notary, Richard Ridings
166,Dennis Quaid, Jake Gyllenhaal, Emmy Rossum, Dash Mihok
167,Steven Seagal, Eric Bogosian, Everett McGill, Katherine Heigl
169,Tom Berenger, Raymond Cruz, William Forsythe, Luis Guzmán
170,Jean-Claude Van Damme, Mia Sara, Ron Silver, Bruce McGill
171,Johnny Depp, John Turturro, Maria Bello, Timothy Hutton
172,Robert Patrick, Mark Dacascos, Scott Wolf, Kristina Wagner
174,John D. LeMay, Kari Keegan, Kane Hodder, Steven Williams
175,Jennifer Love Hewitt, Freddie Prinze Jr., Brandy Norwood, Mekhi Phifer
176,Justin Whalin, Perrey Reeves, Jeremy Sylvers, Travis Fine
177,Shelley Winters, Christopher Jones, Diane Varsi, Hal Holbrook
178,Keanu Reeves, Dina Meyer, Ice-T, Takeshi Kitano
179,Annabella Sciorra, Rebecca De Mornay, Matt McCoy, Ernie Hudson
180,Tim Matheson, Jennifer Jason Leigh, William Atherton, Hoyt Axton
181,Jonathan Biggins, Drew Forsythe, Phillip Scott,N/A
182,Larry the Cable Guy, Brian Stepanek, Anthony Carelli, Kennedi Clements
183,Bob Hoskins, John Leguizamo, Dennis Hopper, Samantha Mathis
184,John Travolta, Kirstie Alley, David Gallagher, Tabitha Lupien
185,Aaron Eckhart, Yvonne Strahovski, Miranda Otto, Bill Nighy
186,Colin Farrell, Matt Bomer, Lucy Griffiths, Michael Crane
187,Luke Evans, Sarah Gadon, Dominic Cooper, Art Parkinson
188,Arnold Schwarzenegger, Sam Worthington, Joe Manganiello, Josh Holloway
189,Angelina Jolie, Ethan Hawke, Kiefer Sutherland, Gena Rowlands
190,Patricia Arquette, Gabriel Byrne, Jonathan Pryce, Nia Long
191,Jeff Bridges, Ben Barnes, Julianne Moore, Alicia Vikander
192,Michael Keaton, Chandra West, Deborah Kara Unger, Ian McNeice
193,Jason Bateman, Kim Darby, John Astin, Paul Sand
194,Whoopi Goldberg, Sam Elliott, Rubén Blades, Harris Yulin
195,Walter Koenig, Bruce Campbell, Leigh Lombardi, Robert Kurcz
196,Ashley Judd, Samuel L. Jackson, Andy Garcia, David Strathairn
197,Patrick Swayze, Liam Neeson, Adam Baldwin, Helen Hunt
198,Demi Moore, Alec Baldwin, Joseph Gordon-Levitt, James Gandolfini
200,Arnold Schwarzenegger, Jim Belushi, Peter Boyle, Ed O'Ross
201,Patrick Dempsey, Kate Jackson, Robert Ginty, Nancy Valen
202,Robyn Lively, Dan Gauthier, Joshua John Miller, Caren Kaye
203,Kyle Howard, Herbert Russell, Jamie Lee Curtis, Kevin Pollak
204,Rutger Hauer, Terry O'Quinn, Brandon Call, Noble Willingham
205, Sport,Michael Jordan, Wayne Knight, Theresa Randle
206,Jeff Goldblum, Julianne Moore, Pete Postlethwaite, Arliss Howard
207,Josh Lucas, Jessica Biel, Jamie Foxx, Sam Shepard
208,John Putch, Peter Scolari, Romy Windsor, Jonathan Jackson
209,Jamie Kennedy, Alan Cumming, Liam Falconer, Ryan Falconer
210,Arnold Schwarzenegger, Nick Stahl, Claire Danes, Kristanna Loken
211,Dennis Quaid, David Thewlis, Pete Postlethwaite, Dina Meyer
212,Mary Alice, Tanveer K. Atwal, Helmut Bakaitis, Kate Beahan
213,Sean Connery, Naseeruddin Shah, Peta Wilson, Tony Curran
214,Ryan Reynolds, Blake Lively, Peter Sarsgaard, Mark Strong
215,Robin Shou, Talisa Soto, James Remar, Sandra Hess
216,Jeremy Sumpter, Lyndsy Fonseca, John Robinson, Jake Scott
217,Clint Eastwood, Patricia Clarkson, Liam Neeson, Evan C. Kim
218,Keanu Reeves, Al Pacino, Charlize Theron, Jeffrey Jones
219,Edward Furlong, Frank Langella, T. Ryder Smith, Amy Hargreaves
220,Marcia Karr, David Campbell, Fritz Matthews, Ted Prior
221,Robert Englund, Ken Kirzinger, Monica Keena, Jason Ritter
222,Robert John Burke, Lucinda Jenney, Bethany Joy Lenz, Time Winters
223,Sean Connery, Klaus Maria Brandauer, Max von Sydow, Barbara Carrera
224,Melissa Benoist, Mehcad Brooks, Chyler Leigh, David Harewood
225,Andrew McCarthy, Jonathan Silverman, Catherine Mary Stewart, Terry Kiser
226,Andrew McCarthy, Jonathan Silverman, Terry Kiser, Troy Byer
227,Hadley Kay, Chris Wiggins, Cree Summer, Alyson Court
228,Uma Thurman, Lucy Liu, Vivica A. Fox, Daryl Hannah
229,Ewan McGregor, Natalie Portman, Hayden Christensen, Christopher Lee
230,Dudley Moore, John Lithgow, David Huddleston, Burgess Meredith
231,Kevin Connolly, Adrian Grenier, Kevin Dillon, Jerry Ferrara
232,Sean Giambrone, David Milchard, Steve Richmond, Jesse Reid
233,Adam Sandler, Kevin James, Michelle Monaghan, Peter Dinklage
234,Vin Diesel, Rose Leslie, Elijah Wood, Ólafur Darri Ólafsson
