Title,Director,IMdB Rating,Rating,Runtime,Release Date,Genre,Genre2,Genre3,Genre4,Genre5,Genre6,Actor,Actor7,Actor8,Actor9,Writer,Writer10,Writer11,Writer12,Writer13,Writer14,Writer15,Writer16,Writer17,,,
Pixels,Chris Columbus,5.6,PG-13,105 min,24-Jul-15,Action, Comedy, Sci-Fi,,,,Adam Sandler, Kevin James, Michelle Monaghan, Peter Dinklage,Tim Herlihy (screenplay), Timothy Dowling (screenplay), Tim Herlihy (screen story), Patrick Jean (short film),,,,,,,,
Mrs. Doubtfire,Chris Columbus,7,PG-13,125 min,24-Nov-93,Comedy, Drama, Family,,,,Robin Williams, Sally Field, Pierce Brosnan, Harvey Fierstein,Anne Fine (novel), Randi Mayem Singer (screenplay), Leslie Dixon (screenplay),,,,,,,,,
Nine Months,Chris Columbus,5.5,PG-13,103 min,12-Jul-95,Comedy, Romance,,,,,Hugh Grant, Julianne Moore, Tom Arnold, Joan Cusack,Patrick Braoudé (film &quot;Neuf mois&quot;), Chris Columbus (screenplay),,,,,,,,,,
I Know Who Killed Me,Chris Sivertson,3.6,R,105 min,27-Jul-07,Crime, Drama, Mystery, Thriller,,,Bonnie Aarons, Lindsay Lohan, Michael Adler, Julia Ormond,Jeff Hammond,,,,,,,,,,,
The Principal,Christopher Cain,6.3,R,109 min,18-Sep-87,Action, Crime, Drama, Thriller,,,Jim Belushi, Louis Gossett Jr., Rae Dawn Chong, Michael Wright,Frank Deese,,,,,,,,,,,
The Next Karate Kid,Christopher Cain,4.4,PG,107 min,9-Sep-94,Action, Drama, Family, Romance, Sport,,Pat Morita, Hilary Swank, Michael Ironside, Constance Towers,Robert Mark Kamen (characters), Mark Lee,,,,,,,,,,
Gone Fishin',Christopher Cain,4.7,PG,94 min,30-May-97,Comedy, Crime,,,,,Joe Pesci, Danny Glover, Rosanna Arquette, Lynn Whitfield,Jill Mazursky, J.J. Abrams,,,,,,,,,,
Teen Wolf Too,Christopher Leitch,3.2,PG,95 min,20-Nov-87,Comedy, Fantasy,,,,,Jason Bateman, Kim Darby, John Astin, Paul Sand,Jeph Loeb (characters), Matthew Weisman (characters), Jeph Loeb (story), Matthew Weisman (story), Tim Kring (screenplay),,,,,,,
Batman Begins,Christopher Nolan,8.3,PG-13,140 min,15-Jun-05,Action, Adventure, Thriller,,,,Christian Bale, Michael Caine, Liam Neeson, Katie Holmes,Bob Kane (characters), David S. Goyer (story), Christopher Nolan (screenplay), David S. Goyer (screenplay),,,,,,,,
Eraser,Chuck Russell,6.1,R,115 min,21-Jun-96,Action, Drama, Mystery, Thriller,,,Arnold Schwarzenegger, James Caan, Vanessa Williams, James Coburn,Tony Puryear (story), Walon Green (story), Michael S. Chernuchin (story), Tony Puryear (screenplay), Walon Green (screenplay),,,,,,,
Bless the Child,Chuck Russell,5.1,R,107 min,11-Aug-00,Crime, Drama, Horror,,,,Kim Basinger, Jimmy Smits, Holliston Coleman, Rufus Sewell,Cathy Cash Spellman (novel), Thomas Rickman (screenplay), Clifford Green (screenplay), Ellen Green (screenplay),,,,,,,,
S.W.A.T.,Clark Johnson,6,PG-13,117 min,8-Aug-03,Action, Adventure, Crime, Thriller,,,Samuel L. Jackson, Colin Farrell, Michelle Rodriguez, LL Cool J,Robert Hamner (characters), Ron Mita (story), Jim McClain (story), David Ayer (screenplay), David McKenna (screenplay),,,,,,,
Aliens vs. Predator: Requiem,Colin Strause,4.7,R,94 min,25-Dec-07,Action, Horror, Sci-Fi, Thriller,,,Steven Pasquale, Reiko Aylesworth, John Ortiz, Johnny Lewis,Shane Salerno, Dan O'Bannon (&quot;Alien&quot; characters), Ronald Shusett (&quot;Alien&quot; characters), Jim Thomas (&quot;Predator&quot; characters),,,,,,,,
Jurassic World,Colin Trevorrow,7,PG-13,124 min,12-Jun-15,Action, Adventure, Sci-Fi,,,,Chris Pratt, Bryce Dallas Howard, Irrfan Khan, Vincent D'Onofrio,Rick Jaffa (screenplay by), Amanda Silver (screenplay by), Colin Trevorrow (screenplay by), Derek Connolly (screenplay by), Rick Jaffa (story by),,,,,,,
Dungeons & Dragons,Courtney Solomon,3.7,PG-13,107 min,8-Dec-00,Action, Adventure, Fantasy,,,,Jeremy Irons, Bruce Payne, Justin Whalin, Marlon Wayans,Topper Lilien, Carroll Cartwright,,,,,,,,,,
Getaway,Courtney Solomon,4.4,PG-13,90 min,30-Aug-13,Action, Crime, Thriller,,,,Ethan Hawke, Selena Gomez, Jon Voight, Rebecca Budig,Sean Finegan, Gregg Maxwell Parker,,,,,,,,,,
The Hand That Rocks the Cradle,Curtis Hanson,6.6,R,110 min,10-Jan-92,Drama, Thriller,,,,,Annabella Sciorra, Rebecca De Mornay, Matt McCoy, Ernie Hudson,Amanda Silver,,,,,,,,,,,
