Title,Director,Director2,Episode,IMDb,Rating,Runtime,Release Date,Genre,Genre3,Genre4,Genre5,Genre6,Genre7,Actor,Actor8,Actor9,Actor10,Writer,Writer11,Writer12,Writer13,,,,,
Halloween III: Season of the Witch,Tommy Lee Wallace,,41,4.8,R,98,1982-10-22,Horror, Mystery, Sci-Fi,,,,Tom Atkins, Stacey Nelkin, Dan O'Herlihy, Michael Currie,Tommy Lee Wallace,,,,,,,,
Zandalee,Sam Pillsbury,,42,4.4,R,100,1991-05-09,Drama, Romance, Thriller,,,,Nicolas Cage, Judge Reinhold, Erika Anderson, Joe Pantoliano,Mari Kornhauser,,,,,,,,
Vampire in Brooklyn,Wes Craven,,43,4.5,R,100,1995-10-27,Comedy, Fantasy, Horror, Romance,,,Eddie Murphy, Angela Bassett, Allen Payne, Kadeem Hardison,Eddie Murphy story, Vernon Lynch story, Charlie Murphy story, Charlie Murphy screenplay,,,,,
Deadly Friend,Wes Craven,,45,5.5,R,91,1986-10-10,Drama, Horror, Sci-Fi, Thriller,,,Matthew Labyorteaux, Kristy Swanson, Michael Sharrett, Anne Twomey,Diana Henstell novel, Bruce Joel Rubin screenplay,,,,,,,
Nukie,Sias Odendaal, Michael Pakleppa,46,1.5,PG,95,1987-07-01,Family, Sci-Fi,,,,,Glynis Johns, Steve Railsback, Ronald France, Siphiwe Mlangeni,Ben Taylor screenplay, Sias Odendaal original story,,,,,,,
Cop and a Half: New Recruit,Jonathan A. Rosenbaum,,47,5.6,PG,97,2017-08-10,Action, Adventure, Comedy, Crime, Family, Mystery,Lou Diamond Phillips, Lulu Wilson, Janet Kidder, Michael Coleman,Scott Bindley, Arne Olsen based on stories and characters by, Arne Olsen story by, Adrian Vina,,,,,
Off Beat,Hendrik Hölzemann,,48,7.2,N/A,100,2005-02-03,Drama, Romance,,,,,Matthias Schweighöfer, Jessica Schwarz, Jan-Gregor Kremp, Florian Lukas,Hendrik Hölzemann,,,,,,,,
Hackers,Iain Softley,,49,6.2,PG-13,107,1995-09-15,Comedy, Crime, Drama, Thriller,,,Jonny Lee Miller, Angelina Jolie, Jesse Bradford, Matthew Lillard,Rafael Moreu,,,,,,,,
No Holds Barred,Thomas J. Wright,,50,4.3,PG-13,93,1989-06-02,Action, Sport,,,,,Hulk Hogan, Joan Severance, Kurt Fuller, Tommy 'Tiny' Lister,Dennis Hackin,,,,,,,,
Senseless,Penelope Spheeris,,51,6,R,93,1998-02-20,Comedy, Romance,,,,,Marlon Wayans, Brad Dourif, Esther Scott, Debra Jo Rupp,Greg Erb, Craig Mazin,,,,,,,
Mr. Destiny,James Orr,,52,6.4,PG-13,110,1990-10-12,Comedy, Fantasy, Romance,,,,Jim Belushi, Linda Hamilton, Michael Caine, Jon Lovitz,James Orr, Jim Cruickshank,,,,,,,
